name1,name2
仲代達矢,三船敏郎
仲代達矢,新珠三千代
松たか子,妻夫木聡
沢城みゆき,浪川大輔
沢城みゆき,松田健一郎
沢城みゆき,浅野真澄
沢城みゆき,嶋村侑
沢城みゆき,山村響
沢城みゆき,塾一久
沢城みゆき,新垣樽助
沢城みゆき,中國卓郎
沢城みゆき,上田燿司
水野久美,ニック・アダムス
水野久美,宝田明
細谷佳正,花江夏樹
細谷佳正,三森すずこ
吉行和子,妻夫木聡
野村周平,広瀬すず
寿美菜子,宮本佳那子
鈴木達央,島﨑信長
木村良平,早見沙織
岡村明美,中井和哉
岡村明美,田中真弓
岡村明美,山口由里子
岡村明美,犬山イヌコ
岡村明美,平田広明
岡村明美,山口勝平
中井和哉,田中真弓
中井和哉,沢城みゆき
中井和哉,塾一久
中井和哉,松田健一郎
中井和哉,新垣樽助
中井和哉,中國卓郎
中井和哉,上田燿司
中井和哉,山口由里子
中井和哉,犬山イヌコ
中井和哉,平田広明
中井和哉,山口勝平
黒沢ともよ,朝井彩加
黒沢ともよ,豊田萌絵
朝井彩加,豊田萌絵
福山潤,櫻井孝宏
名塚佳織,三瓶由布子
名塚佳織,神谷浩史
名塚佳織,白石涼子
中井貴一,阿部寛
松田健一郎,新垣樽助
松田健一郎,中國卓郎
松田健一郎,上田燿司
有村架純,神木隆之介
柴咲コウ,堤真一
藤田富,高島礼子
三浦友和,加瀬亮
真野恵里菜,筧利夫
真野恵里菜,福士誠治
松原智恵子,渡哲也
竹内結子,阿部寛
吉岡秀隆,小雪
吉岡秀隆,堤真一
倍賞千恵子,渥美清
倍賞千恵子,森川信
ゆかな,福山潤
ゆかな,櫻井孝宏
坂本真綾,堀江由衣
坂本真綾,神谷浩史
坂本真綾,櫻井孝宏
坂本真綾,塾一久
坂本真綾,松田健一郎
坂本真綾,中井和哉
坂本真綾,沢城みゆき
坂本真綾,新垣樽助
坂本真綾,中國卓郎
坂本真綾,上田燿司
坂本真綾,本田貴子
坂本真綾,鈴村健一
坂本真綾,中田譲治
香川照之,伊勢谷友介
小林豊,水野勝
小林豊,本田剛文
神谷明,山崎和佳奈
神谷明,山口勝平
神谷浩史,櫻井孝宏
神谷浩史,白石涼子
田村ゆかり,植田佳奈
田村ゆかり,水樹奈々
植田佳奈,水樹奈々
代永翼,平川大輔
代永翼,鈴木達央
代永翼,島﨑信長
戸田恵梨香,加瀬亮
豊川悦司,寺島しのぶ
豊川悦司,大竹しのぶ
豊川悦司,常盤貴子
筧利夫,福士誠治
矢島晶子,ならはしみき
矢島晶子,藤原啓冶
石川由依,井上麻里奈
種﨑敦美,竹内良太
鳥海浩輔,山下大輝
鳥海浩輔,福島潤
染谷俊之,赤澤燈
渡部秀,渡部秀
渡部秀,文音
渡部秀,藤田富
渡部秀,風谷南友
渡部秀,井上奈々
渡部秀,重盛さと美
渡部秀,高島礼子
渡部秀,芳賀優里亜
渡部秀,宮下順子
新井浩文,三浦友和
高島礼子,高島礼子
高島礼子,芳賀優里亜
高島礼子,宮下順子
文音,文音
文音,藤田富
文音,風谷南友
文音,井上奈々
文音,重盛さと美
文音,高島礼子
文音,芳賀優里亜
文音,宮下順子
風谷南友,高島礼子
井上奈々,高島礼子
重盛さと美,高島礼子
佐田啓二,岩下志麻
佐田啓二,岡田茉莉子
瑛太,松田龍平
中村玉緒,若尾文子
石川界人,村瀬歩
平川大輔,鈴木達央
平川大輔,島﨑信長
西田敏行,浅田美代子
西田敏行,三國連太郎
浅野忠信,オダギリジョー
内山昂輝,種﨑敦美
内山昂輝,竹内良太
馬場良馬,森川彩香
馬場良馬,草野康太
仲間由紀恵,阿部寛
仲間由紀恵,生瀬勝久
市川雷蔵,勝新太郎
千葉真一,竹内力
勝新太郎,田村高廣
大木実,泉京子
渡哲也,川地民夫
高橋英樹,和泉雅子
高橋英樹,宍戸錠
高橋英樹,吉永小百合
ニック・アダムス,宝田明
小林旭,青江三奈
石原裕次郎,二谷英明
石原裕次郎,北原三枝
浅丘ルリ子,二谷英明
浅丘ルリ子,宍戸錠
浅丘ルリ子,石原裕次郎
浅丘ルリ子,小林旭
和泉雅子,宍戸錠
和泉雅子,吉永小百合
芦川いづみ,石原裕次郎
芦川いづみ,北原三枝
山内賢,吉永小百合
天知茂,三原葉子
吉田輝雄,三原葉子
吉田輝雄,岡田茉莉子
三原葉子,三ツ矢歌子
三ツ矢歌子,宇津井健
田宮二郎,水谷良重
藤村志保,勝新太郎
藤村志保,本郷功次郎
川津祐介,若尾文子
松方弘樹,千葉真一
松方弘樹,竹内力
本郷功次郎,藤巻潤
若尾文子,市川雷蔵
若尾文子,船越英二
若尾文子,川崎敬三
安田道代,中原早苗
藤巻潤,高田美和
叶順子,宇津井健
渥美清,森川信
岩下志麻,加藤剛
岩下志麻,津川雅彦
高峰三枝子,岩下志麻
山崎和佳奈,山口勝平
古谷徹,鈴置洋孝
古谷徹,井上瑤
古谷徹,白石冬美
古谷徹,古川登志夫
鈴置洋孝,井上瑤
鈴置洋孝,白石冬美
鈴置洋孝,古川登志夫
井上瑤,白石冬美
井上瑤,古川登志夫
白石冬美,古川登志夫
田辺桃子,永澤菜教
千秋,関智一
千秋,水田わさび
千秋,大原めぐみ
千秋,かかずゆみ
千秋,木村昴
戸松遥,小桜エツコ
戸松遥,関智一
堀江由衣,神谷浩史
堀江由衣,櫻井孝宏
田辺誠一,大塚寧々
小桜エツコ,関智一
小野友樹,斎藤千和
吉野晶,小原早織
安藤政信,松田龍平
浅野真澄,嶋村侑
浅野真澄,山村響
山下大輝,福島潤
小林聡美,加瀬亮
小林聡美,もたいまさこ
大迫茂生,久保山智夏
大迫茂生,白石晃士
久保山智夏,白石晃士
金元寿子,犬山イヌコ
金元寿子,田野アサミ
金元寿子,西村ちなみ
金元寿子,井上麻里奈
菅田俊,菜葉菜
犬山イヌコ,大谷育江
犬山イヌコ,林原めぐみ
犬山イヌコ,三木眞一郎
犬山イヌコ,田野アサミ
犬山イヌコ,西村ちなみ
犬山イヌコ,井上麻里奈
犬山イヌコ,平田広明
犬山イヌコ,山口勝平
犬山イヌコ,田中真弓
戸田恵子,中尾隆聖
塾一久,松田健一郎
塾一久,新垣樽助
塾一久,中國卓郎
塾一久,上田燿司
森田成一,山寺宏一
中島愛,潘めぐみ
岩永洋昭,行成とあ
中村千絵,竹内順子
福圓美里,金元寿子
福圓美里,犬山イヌコ
福圓美里,田野アサミ
福圓美里,西村ちなみ
福圓美里,井上麻里奈
新垣樽助,中國卓郎
新垣樽助,上田燿司
中國卓郎,上田燿司
黒木メイサ,小栗旬
石塚運昇,犬山イヌコ
石塚運昇,大谷育江
石塚運昇,林原めぐみ
石塚運昇,三木眞一郎
林原めぐみ,三木眞一郎
徳永玲子,野中藍
徳永玲子,永淵幸利
野中藍,永淵幸利
野中藍,悠木碧
野中藍,加藤英美里
野中藍,斎藤千和
浜尾京介,渡辺大輔
保志総一朗,斎藤千和
水橋かおり,加藤英美里
水橋かおり,野中藍
水橋かおり,悠木碧
水橋かおり,斎藤千和
加藤英美里,斎藤千和
本田貴子,鈴村健一
竜雷太,戸田恵梨香
竜雷太,加瀬亮
河合龍之介,菜葉菜
喜多村英梨,水橋かおり
喜多村英梨,野中藍
喜多村英梨,悠木碧
喜多村英梨,加藤英美里
喜多村英梨,斎藤千和
大塚明夫,山寺宏一
犬山イヌコ,犬山イヌコ
田野アサミ,西村ちなみ
田野アサミ,井上麻里奈
西村ちなみ,井上麻里奈
山口由里子,犬山イヌコ
山口由里子,平田広明
山口由里子,山口勝平
山口由里子,田中真弓
平田広明,山口勝平
平田広明,田中真弓
山口勝平,田中真弓
伊藤仁,鷹野毅
子安武人,草尾毅
子安武人,渡辺久美子
八嶋智人,林原めぐみ
織田裕二,柳葉敏郎
織田裕二,深津絵里
柳葉敏郎,深津絵里
白竜,小沢仁志
加藤あい,佐藤隆太
加藤あい,伊藤英明
佐藤隆太,伊藤英明
小雪,堤真一
藤村歩,下野紘
片岡信和,徳山秀典
原田芳雄,オダギリジョー
中村勘三郎,坂東玉三郎
二宮敦,次原かな
二宮敦,岩間天嗣
二宮敦,吉川けんじ
二宮敦,高田健一
ならはしみき,藤原啓冶
坂東三津五郎,中村勘三郎
小桜エツ子,中田譲治
小桜エツ子,渡辺久美子
小桜エツ子,子安武人
小桜エツ子,草尾毅
中田譲治,渡辺久美子
中田譲治,鈴村健一
中田譲治,子安武人
中田譲治,草尾毅
並木愛枝,廣末哲万
原田大二郎,山本博子
草尾毅,渡辺久美子
鈴木茜,二宮敦
鈴木茜,次原かな
鈴木茜,岩間天嗣
鈴木茜,吉川けんじ
鈴木茜,高田健一
次原かな,岩間天嗣
次原かな,吉川けんじ
次原かな,高田健一
岩間天嗣,吉川けんじ
岩間天嗣,高田健一
吉川けんじ,高田健一
